,UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
206,ILPAPNT,@ilpapnt,2018-01-23T06:36:39.000Z,Program Derma Darah kerjasama antara ILPAP nibong Tebal dan Kementerian Kesihatan Malaysia.,,,,,,https://twitter.com/ilpapnt/status/955690727249530880
207,LipisSokongPM,@BNyCTLipis,2018-01-20T03:02:17.000Z,Hadir Merasmikan Kempen Derma Darah anjuran Malaysia Hindu Sanggam Kuala Lipis yg bertempat di Ruang Legar... https://fb.me/1Q6HMhfLO,,,1.0,1.0,,https://twitter.com/BNyCTLipis/status/954549615751245825
208,MYDIN Malaysia,@MydinMalaysia,2018-01-20T05:56:44.000Z,"Jom sertai Program Derma Darah anjuran Universiti Multimedia Malaysia & Tabung Darah Hospital Besar Melaka, bermula jam 11pagi - 5petang di MYDIN MiTC, Melaka.
 #dermadarah #kempendermadarah #MYDIN",😘,,,,https://abs-0.twimg.com/emoji/v2/svg/1f618.svg,https://twitter.com/MydinMalaysia/status/954593515761123328
209,DemiRakyatJOHOR,@WeLoveJohor,2018-01-27T02:34:45.000Z,"ASSALAMUALAIKUM, 
SALAM SIHAT 1 MALAYSIA, 
SALAM SEJAHTERA

Jom Derma Darah

Hospital Sultanah Nora Ismail, Batu... https://fb.me/9a4Zxj0ug",,,,1.0,,https://twitter.com/WeLoveJohor/status/957079400616361985
210,inomedikmy,@InomedikMY,2018-01-30T04:02:56.000Z,"Derma darah telah menyelamatkan banyak kehidupan rakyat Malaysia, tetapi adakah anda tahu bahawa ia juga dapat menyelamatkan nyawa anda?
#dermadarah
#darah
#pendermadarah
#blood
#blooddonor
#infokesihatan
#infoterkini
#kesihatanmalaysia
#malaysia
#rawatan
#inomdik
#bantuderma",,,,1.0,https://pbs.twimg.com/media/DUwrkDdVMAEIA3K?format=jpg&name=small,https://twitter.com/InomedikMY/status/958188754593710080
211,KKMalaysia,@KKMPutrajaya,2018-01-31T04:07:48.000Z,"YB Datuk Seri Dr. S. Subramaniam, Menteri Kesihatan Malaysia melawat Kempen Derma Darah 48 jam tanpa henti di... https://fb.me/TXkqt9BB",,,1.0,2.0,,https://twitter.com/KKMPutrajaya/status/958552369129836545
212,Alveu Cosmetics,@AlveuCosmetics,2018-01-31T04:09:11.000Z,"RT KKMPutrajaya ""YB Datuk Seri Dr. S. Subramaniam, Menteri Kesihatan Malaysia melawat Kempen Derma Darah 48 jam tanpa henti di... https://fb.me/TXkqt9BB"" #beauty #beautyblogger #instabeauty #hudabeauty #naturalbeauty #beautyblog #beautyful #effyourbeautystandards #beautyadd…",,,,,,https://twitter.com/AlveuCosmetics/status/958552715185016832
213,Fauzan,@fauzan_latif,2018-02-13T08:05:50.000Z,"Replying to 
@shrnlpDey i thought you can never derma darah in Malaysia anymore?",,2.0,,,,https://twitter.com/fauzan_latif/status/963323313962434561
214,Nur Hanisah,@NooNicah,2018-02-12T13:40:59.000Z,"Tak tau macam mana nk sedarkan rakyat malaysia pasal derma darah ni. Derma darah susah, derma duit lagi la susah. Malaysian ",😭,,,,https://abs-0.twimg.com/emoji/v2/svg/1f62d.svg,https://twitter.com/NooNicah/status/963045271822192640
215,MamySimba,@AuliAliaHAR,2018-02-12T13:10:35.000Z,"Majalah3 hari ni pasal derma darah .. tringat pula lps deliver kena tmbah darah .. tq kepada penderma darah Malaysia.. anda telah menyelamatkan nyawa saya 
 #majalah3",❤,,,,https://abs-0.twimg.com/emoji/v2/svg/1f646-1f3fb-200d-2640-fe0f.svg,https://twitter.com/AuliAliaHAR/status/963037620233097216
