UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Donna,@TheDonnamy,2019-02-10T08:00:09.000Z,"Apa perlu buat sebelum derma darah? Klik link di bawah
http://bit.ly/Sebelumdermadarah…
#donna #donnamy #koolfm #malaysia #blooddonation #donate #blood #info",,,,,,https://twitter.com/TheDonnamy/status/1094506290678845441
K U S T O M S I X,@kustomsix,2019-02-14T16:01:54.000Z,"Jom pakat daftar awal.... Program Derma Darah ngan Kawasaki Malaysia

#blooddonation
#kawasakimalaysia 
#institutdarahnegara https://instagram.com/p/Bt3kAgKBKPd/?utm_source=ig_twitter_share&igshid=12dbfylc2bcm0…",,,,,,https://twitter.com/kustomsix/status/1096077078599032832
Taja Lee,@maknae_taja,2019-02-18T10:45:30.000Z,"Selain derma duit, korean army juga derma darah untuk birthday members bts. Cuba buat tu dekat malaysia hahahaha i bet my finger confirm kena kecam ayat mesti ""taksub sangat sampai darah pon nak bagi dekat korea plastik tak sunat""",✨ ✨,,4,,,https://twitter.com/maknae_taja/status/1097447005574463490
Areep•ありりふ,@areepmalek,2019-02-18T12:36:53.000Z,"Best betul derma darah kat jepun. Dapat air free boleh pilih plus ada jajan lagi. Siap ade goodies lagi bila donate. 
Kat malaysia ade tempat yg best nak donate? Boleh sapa2 roger. Balek nanti nak usha",,,,1,,https://twitter.com/areepmalek/status/1097475038276595712
RTM Malaysia,@RTM_Malaysia,2019-02-14T03:45:28.000Z,"Jadual Kempen Derma Darah
14 Februari 2019 (Khamis) * Jadual ini tertakluk kepada sebarang bentuk pindaan. Pihak PDN memohon agar para penderma hadir ke lokasi kempen 30 minit sebelum waktu tamat 
#jomdermadarah
#darahtakpernahcuti
#BeThe1Donor",,,5,4,https://pbs.twimg.com/media/DzVjvWIU8AAzmSg?format=jpg&name=small,https://twitter.com/RTM_Malaysia/status/1095891751380942848
syawal™ シ,@syawal,2019-02-21T07:16:34.000Z,"Replying to 
@twt_malaysiaMinta pihak hospital & kawan2 buat group WhatsApp/fb.

Pihak Jabatan Kesihatan negeri boleh blast SMS utk minta org ramai derma. Sentiasa update status bekalan darah tempatan 
(cth 
@PDNKKM
 ).

https://facebook.com/PusatDarahNegaraKementerianKesihatanMalaysia/photos/status-bekalan-darah-semasa-di-pusat-darah-negara-16-disember-2016semua-kumpulan/1219785324758528/…",👇,,28,7,https://abs-0.twimg.com/emoji/v2/svg/1f447.svg,https://twitter.com/syawal/status/1098481588570972160
Noraminah Omar,@NoraminahO,2019-02-21T06:55:23.000Z,"#dermadarah

Kempen derma Darah Malaysia https://facebook.com/noraminahomar/posts/2511099098932393…",,,,,,https://twitter.com/NoraminahO/status/1098476260571971591
RTM Malaysia,@RTM_Malaysia,2019-02-19T08:15:37.000Z,"Jadual Kempen Derma Darah
20 Februari 2019 (Rabu) * Jadual ini tertakluk kepada sebarang bentuk pindaan. Pihak PDN memohon agar para penderma hadir ke lokasi kempen 30 minit sebelum waktu tamat 

#jomdermadarah
#darahtakpernahcuti
#BeThe1Donor
#pusatdarahnegara",,1,6,7,https://pbs.twimg.com/media/DzwRhWKXQAI3_M8?format=jpg&name=small,https://twitter.com/RTM_Malaysia/status/1097771675494567936
Rakyat: KP Gynae Penang,@twt_malaysia,2019-02-21T07:07:30.000Z,"Klu tgk pun bukan setakat hospital Beluran. last few weeks, asyik nampak kawan-kawan merayu dlm fb utk siapa2 yg boleh derma darah sbb Hospital Queen Elizabeth, KK pun kekurangan jg.Quote Tweet
L
@lorazepam15
 · Feb 21, 2019
Replying to @twt_malaysia
Sadly, the problem still occured ye akak. Hospital Beluran lah maksud akak ni kan?",,2,2,6,https://pbs.twimg.com/profile_images/1213354321884012544/AdG-p_TA_mini.jpg,https://twitter.com/twt_malaysia/status/1098479308908023808
Rakyat: KP Gynae Penang,@twt_malaysia,2019-02-21T06:55:17.000Z,"Masalah kekurangan bekalan darah masih berterusan disini sebenarnya. Kempen derma darah harus diperhebatkan lagi. Kita pun sekiranya mampu utk menderma, mendermalah.  Quote Tweet
L
@lorazepam15
 · Feb 21, 2019
Replying to @twt_malaysia
Bagi saya the moral from this story, we always need to ready for the unexpected things. Macam takde bekalan darah tu, supposedly bekalan darah kenalah cukup untuk bersedia dengan sebarang kecemasan. Ada ke apa2 penambahbaikan kat hospital lepas kes ni berlaku akak?",😢 😢,3,8,8,https://abs-0.twimg.com/emoji/v2/svg/1f622.svg,https://twitter.com/twt_malaysia/status/1098476235099758592
KLfm 97.2Mhz,@KLfm972,2019-02-25T07:02:53.000Z,"#Repost rtm_malaysia
・・・
Jadual Kempen Derma Darah
26 Februari 2019 (Selasa) * Jadual ini tertakluk kepada sebarang bentuk pindaan. Pihak PDN memohon agar para penderma hadir ke lokasi… https://instagram.com/p/BuS7EQKgubi/?utm_source=ig_twitter_share&igshid=bvivk09bakxb…",,,,,,https://twitter.com/KLfm972/status/1099927696832892933
RTM Malaysia,@RTM_Malaysia,2019-02-25T00:00:41.000Z,"Jadual Kempen Derma Darah
25 Februari 2019 (Isnin)

* Jadual ini tertakluk kepada sebarang bentuk pindaan. Pihak PDN memohon agar para penderma hadir ke lokasi kempen 30 minit sebelum waktu tamat... https://facebook.com/RadioTelevisyenMalaysia/posts/2329782610387265…",,,1,3,,https://twitter.com/RTM_Malaysia/status/1099821448900870145
jamalparit,@jamalparit,2019-03-05T01:45:10.000Z,"Sambutan Hari Pembantu Perubatan 2019
Pendaftaran Peserta Derma Darah
KEMENTERIAN KESIHATAN MALAYSIA https://facebook.com/HospitalTengkuAmpuanRahimah/videos/822338304769811/…",,,,,,https://twitter.com/jamalparit/status/1102746843862188032
BloodBankHUS,@BloodBankHUS,2019-03-04T09:22:33.000Z,"Terima kasih Agensi Penguatkuasaan Maritim Malaysia Wilayah Sarawak atas penganjuran Kempen Derma Darah pagi hingga petang tadi. 

Kerjasama dan sokongan tuan akan dikenang sampai bila-bila.

Ingin menganjurkan... https://facebook.com/424945644256734/posts/2145036835580931/…",,,1,2,,https://twitter.com/BloodBankHUS/status/1102499561648635905
RTM Malaysia,@RTM_Malaysia,2019-03-04T23:45:00.000Z,"Jadual Kempen Derma Darah
5 Mac 2019 (Selasa)

* Jadual ini tertakluk kepada sebarang bentuk pindaan. Pihak PDN memohon agar para penderma hadir ke lokasi kempen 30 minit sebelum waktu tamat.

-Pusat Darah Negara-",,,,1,https://pbs.twimg.com/media/D0z8rx5VAAQQYne?format=jpg&name=small,https://twitter.com/RTM_Malaysia/status/1102716602703785985
RTM Malaysia,@RTM_Malaysia,2019-03-03T13:01:40.000Z,"PROGRAM DERMA DARAH

TARIKH : 5 MAC 2019 (SELASA)
TEMPAT: LOBI UTAMA HOSPITAL REHABILITASI CHERAS

SEMUA DIJEMPUT HADIR

JKN Kuala Lumpur & Putrajaya https://facebook.com/RadioTelevisyenMalaysia/posts/2339783979387128…",,,4,,,https://twitter.com/RTM_Malaysia/status/1102192314900975616
jamalparit,@jamalparit,2019-03-05T00:53:23.000Z,"Sambutan Hari Pembantu Perubatan 2019 
Program Derma Darah KEMENTERIAN KESIHATAN MALAYSIA https://facebook.com/HospitalTengkuAmpuanRahimah/videos/358168341704112/…",,,,,,https://twitter.com/jamalparit/status/1102733811542966272
Puteri Homestay Putrajaya (PHP),@homestayputra,2019-03-08T07:08:01.000Z,"Sama2 lah menderma darah utk mereka yg memerlukan. Especially darah yg rhesus negative. Byk kebaikan nya derma darah ni

#malaysiagazette #Malaysia #maluapabossku #KBSQuote Tweet
KKMalaysia
@KKMPutrajaya
 · Mar 8, 2019
Kami memerlukan bantuan anda. 
Pusat Darah Negara (PDN) @PDNKKM  kekurangan darah khususnya darah kumpulan A.

Bantulah kami untuk menyelamatkan insan-insan yang memerlukan.

1 beg darah mampu selamatkan 3 nyawa 
Terima kasih kerana RT ",📢 ❤ ❤ ❤ 🙏,,,,https://pbs.twimg.com/profile_images/1053816948348280832/pqYza4TA_mini.jpg,https://twitter.com/homestayputra/status/1103915257683095553
Sir Fais,@SirFais,2019-03-10T05:11:32.000Z,"Can people detect hiv in the blood donation? Kalau tak tahu and berjangkit mcm mana??! — Normally before anda #DermaDarah, anda perlu sign declaration form yang anda tak terlibat dalam mana2 aktiviti berisiko.

Polisi derma darah di Malaysia ada…sirfais
CuriousCat is a Q&A social network that allows you to connect with your followers and know new people.
curiouscat.me",,,,,https://pbs.twimg.com/card_img/1348971320663552000/VcIyJUyK?format=jpg&name=240x240,https://twitter.com/SirFais/status/1104610717481742336
MRSM Kuching,@mrsmkuching,2019-03-08T06:26:30.000Z,"Kempen Derma Darah anjuran Bulan Sabit Merah Malaysia 
@mrsmkuching
 dengan kerjasama Klinik Kesihatan Petra Jaya menutup tirai Minggu Aktiviti Semester 1 Tahun 2019.",,,,3,https://pbs.twimg.com/media/D1HbiWTV4AA1Hio?format=jpg&name=360x360,https://twitter.com/mrsmkuching/status/1103904806266007552
Malaysia Hari Ini,@MsiaHariIni,2019-03-08T10:02:27.000Z,"Jom kita derma darah. Sama-sama kita bantu bagi yang memerlukan.

KEMENTERIAN KESIHATAN MALAYSIA
Pusat Darah Negara Kementerian Kesihatan Malaysia
#Jomdermadarah
#darahtakpernahcuti
#BeThe1Donor https://facebook.com/permalink.php?story_fbid=2261934490797140&id=1752036455120282…",,,,,,https://twitter.com/MsiaHariIni/status/1103959152446050304
RTM Malaysia,@RTM_Malaysia,2019-03-09T23:45:00.000Z,"Jadual Kempen Derma Darah
10 Mac 2019 (Ahad)

* Jadual ini tertakluk kepada sebarang bentuk pindaan. Pihak PDN memohon agar para penderma hadir ke lokasi kempen 30 minit sebelum waktu tamat 

-Pusat Darah Negara-",,,6,6,https://pbs.twimg.com/media/D1N0rIiUcAA5x_x?format=jpg&name=small,https://twitter.com/RTM_Malaysia/status/1104528542518382600
Noraminah Omar,@NoraminahO,2019-03-12T06:38:01.000Z,"#dermadarah

Kempen derma Darah Malaysia https://facebook.com/noraminahomar/posts/2549656945076608…",,,,,,https://twitter.com/NoraminahO/status/1105357258295259136
